,Suburb,Postcode,Local government area,Latitude,Longitude,1st Most Common Venue
287,Kensington,3031,City of Melbourne,-37.7943554,144.9270487,Indian Restaurant
288,Melbourne CBD,3000,City of Melbourne,-37.8141823,144.9598007,Sushi Restaurant
289,Melbourne CBD (St Kilda Road area),3004,"City of Melbourne (east side to High Street, Prahran); City of Port Phillip (west side and road south of High Street, Prahran)",0.0,0.0,Polish Restaurant
290,North Melbourne,3051,City of Melbourne; City of Moonee Valley,-37.7985747,144.9451741,Italian Restaurant
291,Parkville,3052,City of Melbourne,-37.7871148,144.9515533,Sushi Restaurant
292,Port Melbourne,3207,City of Melbourne; City of Port Phillip,-37.83336129999999,144.9219203,Thai Restaurant
293,Southbank,3006,City of Melbourne; City of Port Phillip,-37.825361799999996,144.96402030000002,Chinese Restaurant
294,South Wharf,3006,City of Melbourne; City of Port Phillip,-37.8253279,144.9493432,Chinese Restaurant
295,South Yarra,3141,City of Melbourne; City of Stonnington,-37.8377695,144.99185369999998,Kebab Restaurant
296,West Melbourne,3003,City of Melbourne,-37.81044755,144.920429793501,Korean Restaurant
297,Aintree,3336,City of Melton,-37.71939329999999,144.6694023,Polish Restaurant
298,Bonnie Brook,3335,City of Melton,-37.70020195,144.67660009811598,Fast Food Restaurant
299,Brookfield,3338,City of Melton,-37.699338899999994,144.5405513,Fast Food Restaurant
300,Burnside,3023,City of Melton,-37.749373999999996,144.753027,Middle Eastern Restaurant
301,Burnside Heights,3023,City of Melton,-37.7324225,144.7555804,Chinese Restaurant
302,Caroline Springs,3023,City of Melton,-37.7345608,144.7371975,Chinese Restaurant
303,Cobblebank,3338,City of Melton,-37.706300399999996,144.60256569999999,Portuguese Restaurant
304,Deanside,3336,City of Melton,-37.727933,144.70464750000002,Polish Restaurant
305,Exford,3338,City of Melton,-37.728888299999994,144.542927959977,Polish Restaurant
306,Eynesbury,3338,City of Melton; City of Wyndham,-37.7908381,144.55616569999998,Polish Restaurant
307,Fieldstone,3024,City of Melton,-37.74986679999999,144.6482563,Middle Eastern Restaurant
308,Fraser Rise,3336,City of Melton,-37.70598629999999,144.7174013,Portuguese Restaurant
309,Grangefields,3335,City of Melton,-37.7000297,144.63512680000002,Fast Food Restaurant
310,Harkness,3337,City of Melton,-37.65678079999999,144.5525264,Polish Restaurant
311,Kurunjang,3337,City of Melton,-37.6626777,144.59144030000002,Polish Restaurant
312,Melton,3337,City of Melton,-37.6835714,144.5828446,Polish Restaurant
313,Melton South,3338,City of Melton,-37.706027899999995,144.57177230000002,Portuguese Restaurant
314,Melton West,3337,City of Melton,-37.6798651,144.5528895,Polish Restaurant
315,Mount Cottrell,3024,City of Melton; City of Wyndham,-37.76249,144.62283,South American Restaurant
316,Parwan,3340,City of Melton; Shire of Moorabool,-37.735676899999994,144.46947921550301,Chinese Restaurant
317,Plumpton,3335,City of Melton,-37.6727808,144.6993618,Polish Restaurant
318,Ravenhall,3023,City of Melton,-37.7754956,144.73663259999998,Fast Food Restaurant
319,Rockbank,3335,City of Melton,-37.7312767,144.6607316,Chinese Restaurant
320,Strathtulloh,3338,City of Melton,-37.7324394,144.5975017,Chinese Restaurant
321,Taylors Hill,3037,City of Melton,-37.7152241,144.75331269999998,Polish Restaurant
322,Thornhill Park,3335,City of Melton,-37.7274099,144.6259215,Polish Restaurant
323,Toolern Vale,3337,City of Melton,-37.602626799999996,144.584952550434,Polish Restaurant
324,Truganina,3029,City of Melton; City of Wyndham,-37.808901500000005,144.721139,Korean Restaurant
325,Weir Views,3338,City of Melton,-37.7323715,144.57089419999997,Chinese Restaurant
326,Ashwood,3147,City of Monash,-37.866671999999994,145.1022346,Polish Restaurant
327,Burwood,3125,City of Monash; City of Whitehorse,-37.85565995,145.09844123094,Polish Restaurant
328,Chadstone,3148,City of Monash,-37.8822799,145.1001365,Polish Restaurant
329,Clayton,3168,City of Monash,-37.9173212,145.1304242,
330,Glen Waverley,3150,City of Monash,-37.8816255,145.1681838,Polish Restaurant
331,Hughesdale,3166,City of Monash,-37.8995028,145.0811583,
332,Huntingdale,3166,City of Monash,-37.907658500000004,145.1084736,
333,Monash University,3800,City of Monash,-37.9011951,145.130584919767,
334,Mount Waverley,3149,City of Monash,-37.878392299999994,145.1284919,Polish Restaurant
335,Mulgrave,3170,City of Monash,-37.9319869,145.18179881096,
336,Notting Hill,3168,City of Monash,-37.905582,145.14556159999998,
337,Oakleigh,3166,City of Monash,-37.9066691,145.111258439223,
338,Oakleigh East,3166,City of Monash,-37.9039215,145.1153403,
339,Oakleigh South,3167,City of Monash,-37.92482570000001,145.0921745,
340,Wheelers Hill,3150,City of Monash,-37.9103266,145.1895175,
341,Aberfeldie,3040,City of Moonee Valley,-37.7596196,144.8974571,Indian Restaurant
342,Airport West,3042,City of Moonee Valley,-37.7222576,144.88349419999997,Polish Restaurant
343,Ascot Vale,3032,City of Moonee Valley,-37.776956299999995,144.9137235,Fast Food Restaurant
344,Avondale Heights,3034,City of Moonee Valley,-37.761453700000004,144.86214099999998,Afghan Restaurant
345,Essendon,3040,City of Moonee Valley,-37.74945485,144.913193712624,Middle Eastern Restaurant
346,Essendon Fields,3041,City of Moonee Valley,-37.72692120000001,144.90041340000002,Polish Restaurant
347,Essendon North,3041,City of Moonee Valley,-37.73847620000001,144.90120269999997,Portuguese Restaurant
348,Essendon West,3040,City of Moonee Valley,-37.75464,144.883441718625,Middle Eastern Restaurant
349,Moonee Ponds,3039,City of Moonee Valley,-37.765575,144.9212864,Middle Eastern Restaurant
350,Niddrie,3042,City of Moonee Valley,-37.7397699,144.8847881,Middle Eastern Restaurant
351,Strathmore,3041,City of Moonee Valley,-37.7333202,144.91824330000003,Chinese Restaurant
352,Strathmore Heights,3041,City of Moonee Valley,-37.7133663,144.8969057,Polish Restaurant
353,Travancore,3032,City of Moonee Valley,-37.780755299999996,144.935503,Australian Restaurant
354,Brunswick,3056,City of Moreland,-37.7664715,144.9613103,Middle Eastern Restaurant
355,Brunswick East,3057,City of Moreland,-37.768880200000005,144.9776825,Thai Restaurant
356,Brunswick West,3055,City of Moreland,-37.7633334,144.9425563,South American Restaurant
357,Coburg,3058,City of Moreland,-37.744975200000006,144.9643314,Middle Eastern Restaurant
358,Coburg North,3058,City of Moreland,-37.7243394,144.9675896,Polish Restaurant
359,Fawkner,3060,City of Moreland,-37.7052065,144.9696144,Portuguese Restaurant
360,Glenroy,3046,City of Moreland,-37.702819899999994,144.9275403,Fast Food Restaurant
361,Gowanbrae,3043,City of Moreland,-37.702718299999994,144.8975976,Fast Food Restaurant
362,Hadfield,3046,City of Moreland,-37.7101582,144.9502764,Portuguese Restaurant
363,Oak Park,3046,City of Moreland,-37.7181626,144.9189712,Polish Restaurant
364,Pascoe Vale,3044,City of Moreland,-37.7250777,144.9379604,Polish Restaurant
365,Pascoe Vale South,3044,City of Moreland,-37.7434265,144.9384767,Middle Eastern Restaurant
366,Blairgowrie,3942,Shire of Mornington Peninsula (adjacent to Port Phillip),-38.3687445,144.77226819999998,
367,Capel Sound,3940,Shire of Mornington Peninsula (adjacent to Port Phillip),-38.373724100000004,144.8755654,Polish Restaurant
368,Dromana,3936,Shire of Mornington Peninsula (adjacent to Port Phillip),-38.3418285,144.96558380000002,
369,McCrae,3938,Shire of Mornington Peninsula (adjacent to Port Phillip),-38.359979100000004,144.9338501,Polish Restaurant
370,Mornington,3931,Shire of Mornington Peninsula (adjacent to Port Phillip),-33.15379,115.929,
371,Mount Eliza,3930,Shire of Mornington Peninsula (adjacent to Port Phillip),-38.19381,145.095732088415,
372,Mount Martha,3934,Shire of Mornington Peninsula (adjacent to Port Phillip),-38.275467600000006,145.0307737,
373,Portsea,3944,Shire of Mornington Peninsula (adjacent to Port Phillip),-38.32282120000001,144.70042080000002,
374,Rosebud,3939,Shire of Mornington Peninsula (adjacent to Port Phillip),-38.3710325,144.9095115,
375,Rye,3941,Shire of Mornington Peninsula (adjacent to Port Phillip),-38.3821684,144.8099264,
376,Safety Beach,3936,Shire of Mornington Peninsula (adjacent to Port Phillip),-38.315364200000005,145.000282,
377,St Andrews Beach,3941,Shire of Mornington Peninsula (adjacent to Port Phillip),-38.4199773,144.83117,
378,Sorrento,3943,Shire of Mornington Peninsula (adjacent to Port Phillip),-38.344727299999995,144.74209380000002,
379,Tootgarook,3941,Shire of Mornington Peninsula (adjacent to Port Phillip),-38.3777277,144.8502239,Polish Restaurant
380,Bittern,3918,Shire of Mornington Peninsula (adjacent to Western Port),-38.33757979999999,145.17732890000002,Polish Restaurant
381,Crib Point,3919,Shire of Mornington Peninsula (adjacent to Western Port),-38.352358200000005,145.2029503,
382,Hastings,3915,Shire of Mornington Peninsula (adjacent to Western Port),-38.307488,145.19020030000001,
383,Somerville,3912,Shire of Mornington Peninsula (adjacent to Western Port),-38.225403899999996,145.17366919999998,
384,Tyabb,3913,Shire of Mornington Peninsula (adjacent to Western Port),-38.263700799999995,145.1871641,
385,Arthurs Seat,3936,Shire of Mornington Peninsula,-38.36077,144.959730916163,Polish Restaurant
386,Balnarring,3926,Shire of Mornington Peninsula,-38.35716,145.12594484191,
387,Balnarring Beach,3926,Shire of Mornington Peninsula,-38.395945000000005,145.113191146907,
388,Baxter,3911,Shire of Mornington Peninsula,-38.20100789999999,145.1568582,
389,Boneo,3939,Shire of Mornington Peninsula,-38.439545,144.903913613841,
390,Cape Schanck,3939,Shire of Mornington Peninsula,-38.466205,144.88921624444401,
391,Fingal,3939,Shire of Mornington Peninsula,-38.418955,144.859891004844,
392,Flinders,3929,Shire of Mornington Peninsula,-38.45564,144.985139639175,
393,HMAS Cerberus,3920,Shire of Mornington Peninsula,-38.382085,145.194820337715,
394,Main Ridge,3928,Shire of Mornington Peninsula,-38.40234,144.965533868726,Polish Restaurant
395,Merricks,3916,Shire of Mornington Peninsula,-38.3998558,145.09867749999998,
396,Merricks Beach,3926,Shire of Mornington Peninsula,-38.3998558,145.09867749999998,
397,Merricks North,3926,Shire of Mornington Peninsula,-38.34129,145.071874766734,
398,Moorooduc,3933,Shire of Mornington Peninsula,-38.245684999999995,145.11613426233,
399,Point Leo,3916,Shire of Mornington Peninsula,-38.4190327,145.07525859999998,
400,Red Hill,3937,Shire of Mornington Peninsula,-38.3799499,145.0264267,
401,Red Hill South,3937,Shire of Mornington Peninsula,-38.40638,145.029194632565,Polish Restaurant
402,Shoreham,3916,Shire of Mornington Peninsula,-38.4247467,145.0554939,Polish Restaurant
403,Somers,3927,Shire of Mornington Peninsula,-38.3923474,145.1726499,
404,Tuerong,3915,Shire of Mornington Peninsula,-38.297585,145.091226149873,
405,Diamond Creek,3089,Shire of Nillumbik,-37.6760643,145.1524368,
406,Hurstbridge,3099,Shire of Nillumbik,-37.6375848,145.19433940000002,Polish Restaurant
407,North Warrandyte,3113,Shire of Nillumbik,-37.725853799999996,145.21554630000003,Polish Restaurant
408,Research,3095,Shire of Nillumbik,-37.706655700000006,145.189067,Portuguese Restaurant
409,Wattle Glen,3096,Shire of Nillumbik,-37.66994520000001,145.1916231,Polish Restaurant
410,Bend of Islands,3097,Shire of Nillumbik,-37.700485,145.2777398125,Fast Food Restaurant
411,Christmas Hills,3775,Shire of Nillumbik,-37.65814,145.307188707865,Polish Restaurant
412,Cottles Bridge,3099,Shire of Nillumbik,-37.6234258,145.2175327,
413,Doreen,3754,Shire of Nillumbik (as a rural locality); City of Whittlesea (as a suburb),-37.5963874,145.1428928,
414,Kangaroo Ground,3097,Shire of Nillumbik,-37.6918649,145.2158904,Fast Food Restaurant
415,Kinglake,3763,Shire of Nillumbik; Shire of Murrindindi,-37.5327424,145.34113100000002,
416,Kinglake West,3778,Shire of Nillumbik; Shire of Murrindindi; City of Whittlesea,-37.4778011,145.255932344565,
417,Nutfield,3099,Shire of Nillumbik,-37.6091125,145.18292490000002,Polish Restaurant
418,Panton Hill,3759,Shire of Nillumbik,-37.6413636,145.23904130000003,Polish Restaurant
419,Plenty,3090,Shire of Nillumbik,-37.6674499,145.1123773,Polish Restaurant
420,St Andrews,3761,Shire of Nillumbik,-37.579440000000005,145.28584035,
421,Smiths Gully,3760,Shire of Nillumbik,-37.604117200000005,145.2678984,Polish Restaurant
422,Strathewen,3099,Shire of Nillumbik,-37.5478739,145.2691533,Polish Restaurant
423,Toolangi,3777,Shire of Nillumbik,-37.5333775,145.46724809999998,
424,Watsons Creek,3097,Shire of Nillumbik,-37.6703909,145.2567324,Polish Restaurant
425,Yan Yean,3755,Shire of Nillumbik; City of Whittlesea,-37.569134000000005,145.107832,
426,Yarrambat,3091,Shire of Nillumbik,-37.6375473,145.1349293,Polish Restaurant
427,Albert Park,3206,City of Port Phillip,-37.84520620000001,144.957105,Polish Restaurant
428,Balaclava,3183,City of Port Phillip,-37.8702943,144.9947414,Polish Restaurant
429,Elwood,3184,City of Port Phillip,-37.878856799999994,144.9855487,Polish Restaurant
430,Middle Park,3206,City of Port Phillip,-37.8511511,144.9620399,Thai Restaurant
431,Ripponlea,3185,City of Port Phillip,-37.877797799999996,144.99527780000003,Polish Restaurant
432,St Kilda,3182,City of Port Phillip,-37.8638261,144.981637,Polish Restaurant
433,St Kilda West,3182,City of Port Phillip,-37.8579958,144.97124519999997,Polish Restaurant
434,South Melbourne,3205,City of Port Phillip,-37.83346029999999,144.95701880000001,Thai Restaurant
435,Armadale,3143,City of Stonnington,-37.8567619,145.0206905,Polish Restaurant
436,Kooyong,3144,City of Stonnington,-37.841394,145.03584019999997,Thai Restaurant
437,Malvern,3144,City of Stonnington,-37.8576088,145.0350666,Polish Restaurant
438,Malvern East,3145,City of Stonnington,-37.876835,145.0658739,Polish Restaurant
439,Prahran,3181,City of Stonnington,-37.8478,145.0,Thai Restaurant
440,Toorak,3142,City of Stonnington,-37.8416141,145.01762150000002,Thai Restaurant
441,Windsor,3181,City of Stonnington,-37.854522700000004,144.9921665,Seafood Restaurant
442,Blackburn,3130,City of Whitehorse,-37.821700899999996,145.152276,Italian Restaurant
443,Blackburn North,3130,City of Whitehorse,-37.8053801,145.154324,Korean Restaurant
444,Blackburn South,3130,City of Whitehorse,-37.838832200000006,145.14878480000002,Thai Restaurant
445,Box Hill,3128,City of Whitehorse,-37.8215116,145.1261267,Italian Restaurant
446,Box Hill North,3129,City of Whitehorse,-37.8056831,145.1295748,Italian Restaurant
447,Box Hill South,3128,City of Whitehorse,-37.8366236,145.1233644,Kebab Restaurant
448,Burwood East,3151,City of Whitehorse,-37.8535935,145.150423,Thai Restaurant
449,Forest Hill,3131,City of Whitehorse,-37.836273799999994,145.16909109999997,Kebab Restaurant
450,Mitcham,3132,City of Whitehorse,-37.818191999999996,145.19902119999998,Italian Restaurant
451,Vermont,3133,City of Whitehorse,-37.8384616,145.19934709999998,Thai Restaurant
452,Vermont South,3133,City of Whitehorse,-37.854386,145.1878065,Thai Restaurant
453,Epping,3076,City of Whittlesea,-37.639111,145.0266224,Polish Restaurant
454,Lalor,3075,City of Whittlesea,-37.66582655,145.01727858990802,Polish Restaurant
455,Mernda,3754,City of Whittlesea,-37.6027435,145.10083480000003,Polish Restaurant
456,Mill Park,3082,City of Whittlesea,-37.6641334,145.0642681,Polish Restaurant
457,South Morang,3752,City of Whittlesea,-37.63167670000001,145.08363530000003,
458,Thomastown,3074,City of Whittlesea,-37.680561600000004,145.014410295635,Polish Restaurant
459,Beveridge,3753,City of Whittlesea; Shire of Mitchell,-37.471265100000004,144.97456630000002,
460,Eden Park,3757,City of Whittlesea,-37.48874,145.066544844465,
461,Humevale,3757,City of Whittlesea,-37.50613,145.192174078888,
462,Whittlesea,3757,City of Whittlesea,-37.5121301,145.1177321,
463,Wollert,3750,City of Whittlesea,-37.5939889,145.03373330000002,
464,Woodstock,3755,City of Whittlesea,-37.5460487,145.054426593234,
465,Hoppers Crossing,3029,City of Wyndham,-37.86657039999999,144.6949625,Polish Restaurant
466,Laverton North,3026,City of Wyndham,-37.830070500000005,144.7869487,Malay Restaurant
467,Manor Lakes,3024,City of Wyndham,-37.8686285,144.59501269999998,Polish Restaurant
468,Point Cook,3030,City of Wyndham,-37.9064862,144.75330590000002,
469,Tarneit,3029,City of Wyndham,-37.83833625,144.703855735685,Thai Restaurant
470,Werribee,3030,City of Wyndham,-37.9008141,144.6616976,
471,Werribee South,3030,City of Wyndham,-37.9734648,144.6922245,
472,Williams Landing,3027,City of Wyndham,-37.8614297,144.7445428,Polish Restaurant
473,Wyndham Vale,3024,City of Wyndham,-37.8722432,144.6084185,Polish Restaurant
474,Cocoroc,3030,City of Wyndham,-37.9748784,144.62867930000002,
475,Little River,3211,City of Wyndham; City of Greater Geelong,-37.939080700000005,144.4789406,
476,Mambourin,3024,City of Wyndham,-37.89967670000001,144.554854,
477,Quandong,3340,City of Wyndham,-37.8388844,144.5538125,Kebab Restaurant
478,Abbotsford,3067,City of Yarra,-37.804550799999994,144.99885419999998,Italian Restaurant
479,Burnley,3121,City of Yarra,-37.829613200000004,145.0175294,Malay Restaurant
480,Clifton Hill,3068,City of Yarra,-37.7904385,144.99753710000002,Polish Restaurant
481,Collingwood,3066,City of Yarra,-37.802104,144.98813869999998,Italian Restaurant
482,Cremorne,3121,City of Yarra,-37.8290227,144.9927735,Malay Restaurant
483,Fitzroy,3065,City of Yarra,-37.8010382,144.9792611,Italian Restaurant
484,Fitzroy North,3068,City of Yarra,-37.7833316,144.98370740000001,Sushi Restaurant
485,Princes Hill,3054,City of Yarra,-37.7818041,144.9665675,Sushi Restaurant
486,Richmond,3121,City of Yarra,-37.820395500000004,145.00251530000003,Italian Restaurant
487,Belgrave,3160,Shire of Yarra Ranges,-37.91104835,145.353691475376,
488,Belgrave Heights,3160,Shire of Yarra Ranges,-37.9266116,145.3525247,
489,Belgrave South,3160,Shire of Yarra Ranges,-37.9424023,145.3573383,
490,Chirnside Park,3116,Shire of Yarra Ranges,-37.738583500000004,145.31431809999998,Portuguese Restaurant
491,Kilsyth,3137,Shire of Yarra Ranges,-37.8037844,145.3134593,Italian Restaurant
492,Lilydale,3140,Shire of Yarra Ranges,-37.7576639,145.352405,Indian Restaurant
493,Montrose,3765,Shire of Yarra Ranges,-37.81068,145.350850076404,Korean Restaurant
494,Mooroolbark,3138,Shire of Yarra Ranges,-37.781344700000005,145.32567319999998,Sushi Restaurant
495,Mount Evelyn,3796,Shire of Yarra Ranges,-25.504189999999998,121.7492,
496,Selby,3159,Shire of Yarra Ranges,-37.918760799999994,145.3784097,
497,Tecoma,3160,Shire of Yarra Ranges,-37.9030367,145.34467959999998,
498,Upwey,3158,Shire of Yarra Ranges,-37.9036086,145.3313506,
499,Badger Creek,3777,Shire of Yarra Ranges,-37.6821729,145.5354699,Polish Restaurant
500,Beenak,3139,Shire of Yarra Ranges,-37.8087592,145.5024531,Korean Restaurant
501,Big Pats Creek,3799,Shire of Yarra Ranges,-37.764685799999995,145.750752,Indian Restaurant
502,Cambarville,3779,Shire of Yarra Ranges,-37.558170000000004,145.88744169999998,
503,Chum Creek,3777,Shire of Yarra Ranges,-37.6364618,145.5188488,Polish Restaurant
504,Coldstream,3770,Shire of Yarra Ranges,-35.16408045,149.13920215920402,
505,Dixons Creek,3775,Shire of Yarra Ranges,-37.63870120000001,145.3978013,Polish Restaurant
506,Don Valley,3139,Shire of Yarra Ranges,-37.7608659,145.58687319999999,Indian Restaurant
507,Fernshaw,3778,Shire of Yarra Ranges,-37.5762973,144.7145654,
508,Ferny Creek,3786,Shire of Yarra Ranges,-37.8821539,145.3353111,Polish Restaurant
509,Gilderoy,3797,Shire of Yarra Ranges,-37.854707299999994,145.7128179,Polish Restaurant
510,Gladysdale,3797,Shire of Yarra Ranges,-37.84282725,145.635089993066,Australian Restaurant
511,Gruyere,3770,Shire of Yarra Ranges,-37.72896,145.46342348646002,Polish Restaurant
512,Healesville,3777,Shire of Yarra Ranges,-37.6537218,145.5161533,Polish Restaurant
513,Hoddles Creek,3139,Shire of Yarra Ranges,-37.782019899999995,145.5759957,Sushi Restaurant
514,Kallista,3791,Shire of Yarra Ranges,-37.8858076,145.37291230000002,
515,Kalorama,3766,Shire of Yarra Ranges,-37.8194174,145.372162,Italian Restaurant
516,Launching Place,3139,Shire of Yarra Ranges,-37.780676899999996,145.56919209999998,Australian Restaurant
517,Macclesfield,3782,Shire of Yarra Ranges,-37.881875,145.48988485148502,Polish Restaurant
518,McMahons Creek,3799,Shire of Yarra Ranges,-37.676665,145.970242595986,
519,Matlock,3723,Shire of Yarra Ranges; Shire of Mansfield,-37.598542,146.2077112,
520,Millgrove,3799,Shire of Yarra Ranges,-37.75150120000001,145.6612026,Middle Eastern Restaurant
521,Monbulk,3793,Shire of Yarra Ranges,-37.874177100000004,145.4286024,Polish Restaurant
522,Mount Dandenong,3767,Shire of Yarra Ranges,-37.829176600000004,145.35388369999998,Malay Restaurant
523,Mount Toolebewong,3777,Shire of Yarra Ranges,0.0,0.0,Polish Restaurant
524,Narre Warren East,3804,Shire of Yarra Ranges,-37.96297925,145.358052706164,
525,Olinda,3788,Shire of Yarra Ranges,-37.843742,145.3855733,Australian Restaurant
526,Powelltown,3797,Shire of Yarra Ranges,-37.8630657,145.7514607,Polish Restaurant
527,Reefton,3799,Shire of Yarra Ranges,-37.7012226,145.831458,Fast Food Restaurant
528,Sassafras,3787,Shire of Yarra Ranges,-37.8678412,145.35680390000002,Polish Restaurant
529,Seville,3139,Shire of Yarra Ranges,-37.778204200000005,145.45940009999998,Fast Food Restaurant
530,Seville East,3139,Shire of Yarra Ranges,-37.7743,145.49881090000002,Fast Food Restaurant
531,Sherbrooke,3789,Shire of Yarra Ranges,-37.8872461,145.3520043,
532,Silvan,3795,Shire of Yarra Ranges,-37.8291,145.43776504792402,Malay Restaurant
533,Steels Creek,3775,Shire of Yarra Ranges,-37.631723,145.3917831,
534,Tarrawarra,3775,Shire of Yarra Ranges,-37.6572776,145.42656110000001,Polish Restaurant
535,The Patch,3792,Shire of Yarra Ranges,-37.8901143,145.3912949,
536,Three Bridges,3797,Shire of Yarra Ranges,-37.85718,145.696878650087,Polish Restaurant
537,Toorongo,3833,Shire of Yarra Ranges,-37.902262,146.0231389,
538,Tremont,3785,Shire of Yarra Ranges,-37.8788598,145.3157699,Polish Restaurant
539,Wandin East,3139,Shire of Yarra Ranges,-37.814209999999996,145.455768902598,Sushi Restaurant
540,Wandin North,3139,Shire of Yarra Ranges,-37.7806025,145.42629340000002,Australian Restaurant
541,Warburton,3799,Shire of Yarra Ranges,-37.77946,145.71941172413798,Fast Food Restaurant
542,Warburton East,3799,Shire of Yarra Ranges,-37.77946,145.71941172413798,Fast Food Restaurant
543,Wesburn,3799,Shire of Yarra Ranges,-37.695415000000004,145.693112469387,Polish Restaurant
544,Woori Yallock,3139,Shire of Yarra Ranges,-37.7793329,145.53012619999998,Fast Food Restaurant
545,Yarra Glen,3775,Shire of Yarra Ranges,-37.6573475,145.37439640000002,Polish Restaurant
546,Yarra Junction,3797,Shire of Yarra Ranges,-37.7821693,145.6150255,Sushi Restaurant
547,Yellingbo,3139,Shire of Yarra Ranges,-37.8135132,145.5082046,Sushi Restaurant
548,Yering,3770,Shire of Yarra Ranges,-37.6887134,145.3746571,Fast Food Restaurant
